# id="2359" ref="CF564-2" source="CETENFolha n=564 cad=Cotidiano sec=soc sem=94b" forest="1" text="Com a colisão, cinco passageiros ficaram feridos e foram atendidos no Hospital Mário Gatti."
1	Com	com	ADP	<cjt>|PRP|@PRED>	_	3	case	_	_
2	a	o	DET	<artd>|ART|F|S|@>N	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	colisão	colisão	NOUN	<np-def>|N|F|S|@P<	Gender=Fem|Number=Sing	7	conj	_	_
4	,	,	PUNCT	PU|@PU	_	3	punct	_	_
5	cinco	cinco	NUM	<card>|NUM|M|P|@>N	_	6	nummod	_	_
6	passageiros	passageiro	NOUN	<np-def>|N|M|P|@SUBJ>	Gender=Masc|Number=Plur	7	nsubj	_	_
7	ficaram	ficar	VERB	<first-cjt>|<mv>|V|PS/MQP|3P|IND|@FS-STA	Mood=Ind|Number=Plur|Person=3|VerbForm=Fin	0	root	_	_
8	feridos	ferir	VERB	<mv>|V|PCP|M|P|@ICL-<SC	Gender=Masc|Number=Plur|VerbForm=Part	7	dep	_	_
9	e	e	CONJ	<co-sta>|KC|@CO	_	7	cc	_	_
10	foram	ser	AUX	<cjt>|<aux>|V|PS/MQP|3P|IND|@FS-STA	Mood=Ind|Number=Plur|Person=3|VerbForm=Fin	11	auxpass	_	_
11	atendidos	atender	VERB	<pass>|<mv>|V|PCP|M|P|@ICL-AUX<	Gender=Masc|Number=Plur|VerbForm=Part|Voice=Pass	7	conj	_	_
12	em	em	ADP	<sam->|PRP|@<ADVL	_	14	case	_	_
13	o	o	DET	<-sam>|<artd>|ART|M|S|@>N	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	14	det	_	_
14	Hospital	Hospital	PROPN	PROP|M|S|@P<	Gender=Masc|Number=Sing	11	nmod	_	MWE:Hospital=Mário=Gatti
15	Mário	Mário	PROPN	PROP|@N<	Number=Sing	14	name	_	_
16	Gatti	Gatti	PROPN	PROP|@N<	Number=Sing	14	name	_	_
17	.	.	PUNCT	PU|@PU	_	7	punct	_	_
