a a,à
A a,À
a aquela,àquela
a aquele,àquele
a as,às
A as,Às
a o,ao
A o,Ao
a os,aos
A os,Aos
com mim,comigo
com nós,conosco
com si,consigo
com vós,convosco
de a,da
de aí,daí
De aí,Daí
de antes,dantes
De antes,Dantes
de aquela,daquela
de aquelas,daquelas
de aquilo,daquilo
de as,das
de ela,dela
de elas,delas
de ele,dele
de eles,deles
de essa,dessa
de essas,dessas
de esse,desse
de esses,desses
de esta,desta
de estas,destas
de este,deste
De este,Deste
de estes,destes
de isso,disso
de o,do
De o,Do
de o(s),do(s)
de os,dos
De OS,DOS
de um,dum
Eis lo,Ei-lo
em a,na
Em a,Na
em aquela,naquela
em aquele,naquele
em as,nas
Em as,Nas
em ela,nela
em elas,nelas
em essas,nessas
em esse,nesse
em esta,nesta
Em esta,Nesta
em estas,nestas
em este,neste
Em este,Neste
em isso,nisso
em o,no
Em o,No
em os,nos
Em os,Nos
em outra,noutra
em outras,noutras
em um,num
Em um,Num
em uma,numa
Em uma,Numa
lhe a,lha
para a,pra
por as,pelas
por o,pelo
por os,pelos
por a,pela
