encontramos-|nos	encontramos|-nos	encontramo-nos	Calypso|e|encontramos-|nos|em|a
juntar-|se	juntar|-se	juntar-se	,|vêm|juntar-|se|os|montantes
especializarem-|se	especializarem|-se	especializarem-se	é|«|especializarem-|se|em|fundos
Encomendem-|nos	Encomendem|-nos	Encomendem-nos	«|Encomendem-|nos|a|projectistas
compõe-|se	compõe|-se	compõe-se	meses|e|compõe-|se|de|um
destinam-|se	destinam|-se	destinam-se	primeiros|temas|destinam-|se|a|mostrar
destina-|se	destina|-se	destina-se	Lisboa|,|destina-|se|a|permitir
inspira-|se	inspira|-se	inspira-se	Emigrante|»|inspira-|se|em|a
adaptar-|se	adaptar|-se	adaptar-se	não|conseguiam|adaptar-|se|a|o
é-|o	é|-o	é-o	Mas|é-|o|apenas|porque
apresentar-|se	apresentar|-se	apresentar-se	Kasparov|tenta|apresentar-|se|como|o
dividiu-|se	dividiu|-se	dividiu-se	,|ele|dividiu-|se|em|dois
convencionou-|se	convencionou|-se	convencionou-se	Mas|convencionou-|se|que|esta
Sabe-|se	Sabe|-se	Sabe-se	Sabe-|se|lá|o
Registe-|se	Registe|-se	Registe-se	Registe-|se|que|a
recorde-|se	recorde|-se	recorde-se	feriados|(|recorde-|se|que|Soares
apercebeu-|se	apercebeu|-se	apercebeu-se	,|Vítor-Emanuel|apercebeu-|se|que|um
dirigiu-|se	dirigiu|-se	dirigiu-se	,|e|dirigiu-|se|para|o
aponta-|lhe	aponta|-lhe	aponta-lhe	o|príncipe|aponta-|lhe|a|arma
encontra-|se	encontra|-se	encontra-se	aquela|organização|encontra-|se|desde|sexta-feira
Recomenda-|se	Recomenda|-se	Recomenda-se	Recomenda-|se|ainda|a
chamam-|na	chamam|-na	chamam-na	problema|,|chamam-|na
ir-|se	ir|-se	ir-se	acaba|por|ir-|se|em|grande
registar-|se	registar|-se	registar-se	está|a|registar-|se|um|abrandamento
concretizar-|se	concretizar|-se	concretizar-se	,|a|concretizar-|se|,|poderia
fará-|se	fará|-se	far-se-á	a|recolha|fará-|se|«|uma
manter-|se	manter|-se	manter-se	,|irá|manter-|se|a|recolha
adequa-|se	adequa|-se	adequa-se	de|recolha|adequa-|se|a|edifícios
colocam-|se	colocam|-se	colocam-se	E|aí|colocam-|se|novas|dúvidas
esperando-|se	esperando|-se	esperando-se	turismo|,|esperando-|se|dois|milhões
Dizia-|se	Dizia|-se	Dizia-se	Dizia-|se|que|o
leia-|se	leia|-se	leia-se	S.Domingos|[|leia-|se|o|Banco
destaca-|se	destaca|-se	destaca-se	subidas|,|destaca-|se|ainda|o
Movimentaram-|se	Movimentaram|-se	Movimentaram-se	Movimentaram-|se|cerca|de
situar-|se	situar|-se	situar-se	fecho|a|situar-|se|em|os
noticiava-|se	noticiava|-se	noticiava-se	1994|,|noticiava-|se|a|introdução
inclina-|se	inclina|-se	inclina-se	a|polícia|inclina-|se|para|que
substituir-|lo	substituí|-lo	substituí-lo	está|a|substituir-|lo|,|sobretudo
encontram-|se	encontram|-se	encontram-se	Unita|,|encontram-|se|em|a
fecha-|se	fecha|-se	fecha-se	compromissos|e|fecha-|se|em|a
iniciaram-|se	iniciaram|-se	iniciaram-se	mesma|ocasião|iniciaram-|se|investigações|que
incorporar-|lo	incorporá|-lo	incorporá-lo	começar|a|incorporar-|lo|e|dar
tornou-|se	tornou|-se	tornou-se	o|ritmo|tornou-|se|frenético|,
manipularam-|se	manipularam|-se	manipularam-se	,|«|manipularam-|se|mais|de
vendem-|se	vendem|-se	vendem-se	o|quiosque|vendem-|se|de|essas
realizar-|se	realizar|-se	realizar-se	não|deverá|realizar-|se|este|ano
tem-|se	tem|-se	tem-se	Europa|Ocidental|tem-|se|assistido|a
atenuar-|lhes	atenuar|-lhes	atenuar-lhes	tendem|a|atenuar-|lhes|a|envolvência
assinava-|se	assinava|-se	assinava-se	troca|,|assinava-|se|o|contrato-promessa
deu-|lhe	deu|-lhe	deu-lhe	lado|,|deu-|lhe|a|procuração
perguntou-|lhe	perguntou|-lhe	perguntou-lhe	E|Constantino|perguntou-|lhe|se|ele
decidiu-|se	decidiu|-se	decidiu-se	ousadas|,|decidiu-|se|pedir|a
tendo-|lhe	tendo|-lhe	tendo-lhe	alemães|,|tendo-|lhe|sido|colocadas
encontra-|se	encontra|-se	encontra-se	fotógrafos|participantes|encontra-|se|para|um
recriando-|se	recriando|-se	recriando-se	barcos|,|recriando-|se|em|cada
encontra-|se	encontra|-se	encontra-se	armazém|(|encontra-|se|em|sete
ficou-|nos	ficou|-nos	ficou-nos	morta|,|ficou-|nos|só|essa
há-|de	há|de	há-de	»|,|há-|de|ter|sido
tornaram-|se	tornaram|-se	tornaram-se	os|cegos|tornaram-|se|personagens|passionais
Apaixonou-|se	Apaixonou|-se	Apaixonou-se	Apaixonou-|se|por|um
Apraz-|nos	Apraz|-nos	Apraz-nos	Apraz-|nos|referir|a
Enganei-|me	Enganei|-me	Enganei-me	Enganei-|me|:|não
encontra-|se	encontra|-se	encontra-se	Portugal|encontra-|se|hoje|mergulhado
ter-|se	ter|-se	ter-se	que|parece|ter-|se|instalado|predominantemente
libertar-|se	libertar|-se	libertar-se	Cassandra|soube|libertar-|se|de|o
paralisar-|la	paralisá|-la	paralisá-la	que|ameaçava|paralisar-|la
Parte-|se	Parte|-se	Parte-se	Parte-|se|depois|para
arriscamos-|nos	arriscamo|-nos	arriscamo-nos	criminosos|,|arriscamos-|nos|a|ter
concretizar-|se	concretizar|-se	concretizar-se	mas|poderá|concretizar-|se|mais|depressa
reúnem-|se	reúnem|-se	reúnem-se	Jonas|Savimbi|reúnem-|se|em|Libreville
escapar-|se	escapar|-se	escapar-se	ainda|conseguiu|escapar-|se|e|ver
prestou-|as	prestou|-as	prestou-as	As|declarações|prestou-|as|ontem|durante
Abraça-|se	Abraça|-se	Abraça-se	Abraça-|se|a|o
diz-|lhe	diz|-lhe	diz-lhe	»|,|diz-|lhe|ofegante|,
abraça-|o	abraça|-o	abraça-o	rasgado|,|abraça-|o
destina-|se	destina|-se	destina-se	o|Orçamento|destina-|se|a|despesas
